symbol,aux,position,start_time,ss_interval,ss_lag,dss,dss_lag,dss_norm,dss_lag_norm,dss_distance,bpm
N,,33,0.165,,,,,,,,
N,,125,0.625,0.46,,,,,,,32.60869565
N,,265,1.325,0.7,0.46,0.24,,0.456794823,,,21.42857143
N,,361,1.805,0.48,0.7,-0.22,0.24,-0.418728588,0.456794823,0.619673414,31.25
N,,481,2.405,0.6,0.48,0.12,-0.22,0.228397411,-0.418728588,0.476968561,25
N,,576,2.88,0.475,0.6,-0.125,0.12,-0.23791397,0.228397411,0.329800599,31.57894737
N,,701,3.505,0.625,0.475,0.15,-0.125,0.285496764,-0.23791397,0.371633502,24
N,,800,4,0.495,0.625,-0.13,0.15,-0.247430529,0.285496764,0.377796598,30.3030303
N,,889,4.445,0.445,0.495,-0.05,-0.13,-0.095165588,-0.247430529,0.265100652,33.70786517
N,,980,4.9,0.455,0.445,0.01,-0.05,0.019033118,-0.095165588,0.097050238,32.96703297
N,,1106,5.53,0.63,0.455,0.175,0.01,0.333079558,0.019033118,0.333622919,23.80952381
N,,1236,6.18,0.65,0.63,0.02,0.175,0.038066235,0.333079558,0.335247715,23.07692308
N,,1334,6.67,0.49,0.65,-0.16,0.02,-0.304529882,0.038066235,0.3068998,30.6122449
N,,1434,7.17,0.5,0.49,0.01,-0.16,0.019033118,-0.304529882,0.305124087,30
N,,1548,7.74,0.57,0.5,0.07,0.01,0.133231823,0.019033118,0.134584465,26.31578947
N,,1690,8.45,0.71,0.57,0.14,0.07,0.266463647,0.133231823,0.297915414,21.12676056
N,,1823,9.115,0.665,0.71,-0.045,0.14,-0.085649029,0.266463647,0.279890392,22.55639098
N,,1925,9.625,0.51,0.665,-0.155,-0.045,-0.295013323,-0.085649029,0.307194754,29.41176471
N,,2009,10.045,0.42,0.51,-0.09,-0.155,-0.171298059,-0.295013323,0.3411391,35.71428571
N,,2097,10.485,0.44,0.42,0.02,-0.09,0.038066235,-0.171298059,0.175476674,34.09090909
N,,2226,11.13,0.645,0.44,0.205,0.02,0.390178911,0.038066235,0.392031403,23.25581395
N,,2340,11.7,0.57,0.645,-0.075,0.205,-0.142748382,0.390178911,0.41547164,26.31578947
N,,2436,12.18,0.48,0.57,-0.09,-0.075,-0.171298059,-0.142748382,0.222980101,31.25
